document_tone	sentences_tone
{'tones': []}	
{'tones': [{'score': 0.791355, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.989586, 'tone_id': 'confident', 'tone_name': 'Confident'}]}	
{'tones': [{'score': 0.665353, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.941785, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.627109, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.523822, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.769251, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': []}	
{'tones': [{'score': 0.534144, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.97667, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': []}	
{'tones': [{'score': 0.747221, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': []}	
{'tones': [{'score': 0.652403, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': []}	
{'tones': [{'score': 0.733731, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': [{'score': 0.516156, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.647986, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.509368, 'tone_id': 'confident', 'tone_name': 'Confident'}]}	
{'tones': []}	
{'tones': [{'score': 0.731285, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.657579, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.806637, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.606431, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.638987, 'tone_id': 'confident', 'tone_name': 'Confident'}]}	
{'tones': []}	
{'tones': []}	
{'tones': [{'score': 0.620427, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	[{'sentence_id': 0, 'text': 'USER_MENTION sir r thankful encouraging word give u strength work hard.we', 'tones': [{'score': 0.800762, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'looking towards much needed health insurance coverage bsnl employee also line health postal view pandemic covid19 bsnl_staff_needhealthinsurance', 'tones': []}]
{'tones': []}	
{'tones': [{'score': 0.675176, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.504434, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.63698, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.63287, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': [{'score': 0.85019, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.618083, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.589295, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.932155, 'tone_id': 'confident', 'tone_name': 'Confident'}]}	
{'tones': [{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.663131, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.67368, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.525007, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.599421, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': []}	
{'tones': [{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': []}	
{'tones': [{'score': 0.546508, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': [{'score': 0.511076, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': []}	
{'tones': [{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': []}	
{'tones': [{'score': 0.660207, 'tone_id': 'confident', 'tone_name': 'Confident'}]}	
{'tones': []}	
{'tones': [{'score': 0.649578, 'tone_id': 'fear', 'tone_name': 'Fear'}]}	
{'tones': [{'score': 0.974201, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.656103, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.660937, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.581441, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': []}	
{'tones': [{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.578012, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.643509, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.519929, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.800997, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	[{'sentence_id': 0, 'text': 'showed together alone thats vaccine covid19.i', 'tones': []}, {'sentence_id': 1, 'text': 'really thanks government prime minister conducted kind motivational activity nation give u enthusiasm positive way future.USER_MENTION', 'tones': [{'score': 0.787301, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]
{'tones': []}	
{'tones': [{'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.628275, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.659612, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.597859, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': [{'score': 0.641954, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.634016, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': [{'score': 0.508888, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.72085, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.930968, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.711887, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': []}	
{'tones': []}	
{'tones': []}	
{'tones': []}	
{'tones': [{'score': 0.55856, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.616426, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.837804, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.647986, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.509387, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.840825, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.953798, 'tone_id': 'confident', 'tone_name': 'Confident'}]}	
{'tones': [{'score': 0.528841, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': []}	
{'tones': [{'score': 0.744008, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.573036, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.771025, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.617431, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.796123, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.615166, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.913368, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': []}	
{'tones': [{'score': 0.645638, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': []}	
{'tones': [{'score': 0.56961, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': [{'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.715541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.974201, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.69793, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': []}	
{'tones': [{'score': 0.833004, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': []}	
{'tones': []}	
{'tones': []}	
{'tones': []}	
{'tones': [{'score': 0.536312, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': [{'score': 0.502928, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': [{'score': 0.684859, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.726917, 'tone_id': 'confident', 'tone_name': 'Confident'}]}	
{'tones': [{'score': 0.734478, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.502011, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': []}	
{'tones': [{'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}]}	
{'tones': []}	
{'tones': [{'score': 0.86988, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': []}	
{'tones': [{'score': 0.69511, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.618451, 'tone_id': 'confident', 'tone_name': 'Confident'}]}	
{'tones': [{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': []}	
{'tones': []}	
{'tones': [{'score': 0.702145, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.997482, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': []}	
{'tones': [{'score': 0.544149, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': [{'score': 0.739936, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	[{'sentence_id': 0, 'text': 'bihar one state follow nationwide lockdown rule state evacuated student foolish.dont', 'tones': [{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'worry USER_MENTION people bihar watching return ego intrest upcoming election gd lck USER_MENTION', 'tones': []}]
{'tones': [{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.713705, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.588848, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.655895, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': [{'score': 0.64404, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.660207, 'tone_id': 'confident', 'tone_name': 'Confident'}]}	
{'tones': [{'score': 0.636035, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.873624, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.796208, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.543112, 'tone_id': 'confident', 'tone_name': 'Confident'}]}	
{'tones': [{'score': 0.504586, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.793538, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.85591, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	[{'sentence_id': 0, 'text': 'USER_MENTION sir plz help u epidemic.we', 'tones': []}, {'sentence_id': 1, 'text': 'kota student stuck here.there', 'tones': []}, {'sentence_id': 2, 'text': 'fear around.we', 'tones': [{'score': 0.977095, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.994446, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 3, 'text': 'need help plz get u go parent sendusbackhome kotastudents coronavirus', 'tones': []}]
{'tones': [{'score': 0.512657, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.735644, 'tone_id': 'confident', 'tone_name': 'Confident'}]}	
{'tones': [{'score': 0.539783, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.532616, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.946906, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.644916, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.668884, 'tone_id': 'confident', 'tone_name': 'Confident'}]}	
{'tones': [{'score': 0.699768, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.774376, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.514684, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.594149, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.590006, 'tone_id': 'anger', 'tone_name': 'Anger'}]}	
{'tones': [{'score': 0.648647, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.700601, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.602762, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': []}	
{'tones': [{'score': 0.760394, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.58393, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.514428, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.549013, 'tone_id': 'fear', 'tone_name': 'Fear'}]}	
{'tones': [{'score': 0.632095, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': []}	
{'tones': [{'score': 0.620743, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.890603, 'tone_id': 'confident', 'tone_name': 'Confident'}]}	[{'sentence_id': 0, 'text': 'USER_MENTION im fan guys.tarek', 'tones': []}, {'sentence_id': 1, 'text': 'sir good journalist javed sir good writer time hindu muslim important.please', 'tones': [{'score': 0.650274, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 2, 'text': 'follow humanity fact r right tarek sir agree it.please', 'tones': [{'score': 0.519004, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 3, 'text': 'covid', 'tones': []}]
{'tones': [{'score': 0.571538, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': []}	
{'tones': []}	
{'tones': [{'score': 0.723823, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.936902, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.582934, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.707444, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.781969, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.860389, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.608909, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': []}	
{'tones': [{'score': 0.653412, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': [{'score': 0.618451, 'tone_id': 'confident', 'tone_name': 'Confident'}]}	
{'tones': [{'score': 0.804906, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.898329, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.503121, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.554173, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': []}	
{'tones': [{'score': 0.743104, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.638554, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': [{'score': 0.678923, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.859692, 'tone_id': 'confident', 'tone_name': 'Confident'}]}	
{'tones': []}	
{'tones': [{'score': 0.649676, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': []}	
{'tones': [{'score': 0.666095, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.730335, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.747942, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.548357, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.93884, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.681968, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': [{'score': 0.602574, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.884551, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.890188, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.624763, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': [{'score': 0.727798, 'tone_id': 'confident', 'tone_name': 'Confident'}]}	
{'tones': [{'score': 0.558043, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.840228, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': []}	
{'tones': [{'score': 0.529542, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': [{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.524629, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.8766, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.828366, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': []}	
{'tones': [{'score': 0.768819, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': [{'score': 0.618451, 'tone_id': 'confident', 'tone_name': 'Confident'}]}	
{'tones': [{'score': 0.602169, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': [{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.694747, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.71948, 'tone_id': 'fear', 'tone_name': 'Fear'}]}	
{'tones': [{'score': 0.634049, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.500916, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.73677, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.509368, 'tone_id': 'confident', 'tone_name': 'Confident'}]}	
{'tones': [{'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.840228, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.776238, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.510785, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': [{'score': 0.652949, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': []}	
{'tones': [{'score': 0.535423, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.805332, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': []}	
{'tones': [{'score': 0.878586, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.83589, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': []}	
{'tones': [{'score': 0.8087, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.591882, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.525926, 'tone_id': 'confident', 'tone_name': 'Confident'}]}	
{'tones': [{'score': 0.500969, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.878039, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.817737, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	[{'sentence_id': 0, 'text': 'god save india tablighis concealing pelting stone spitting medical staff police india would corona free today jehadis apparently still hiding wonder much damage mother india.conspiracy', 'tones': [{'score': 0.61732, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'break india force', 'tones': [{'score': 0.605643, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]
{'tones': []}	
{'tones': []}	
{'tones': [{'score': 0.827622, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.591545, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': []}	
{'tones': [{'score': 0.907747, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.532616, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.679143, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': []}	
{'tones': [{'score': 0.769135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.561541, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.511787, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.566725, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.724998, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.579436, 'tone_id': 'confident', 'tone_name': 'Confident'}]}	
{'tones': []}	
{'tones': [{'score': 0.543112, 'tone_id': 'confident', 'tone_name': 'Confident'}]}	
{'tones': [{'score': 0.550016, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.779765, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.651551, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.628528, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.510655, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.545266, 'tone_id': 'fear', 'tone_name': 'Fear'}]}	[{'sentence_id': 0, 'text': 'ramadan kareem.this', 'tones': []}, {'sentence_id': 1, 'text': 'year challenging critical context dreaded disease covid19 since day prophet muhammad pubh.let', 'tones': [{'score': 0.51708, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.525658, 'tone_id': 'fear', 'tone_name': 'Fear'}]}, {'sentence_id': 2, 'text': 'u follow instruction government pray URL congregation masjid iftar party', 'tones': []}]
{'tones': []}	
{'tones': [{'score': 0.707803, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.825035, 'tone_id': 'confident', 'tone_name': 'Confident'}]}	
{'tones': [{'score': 0.811522, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': []}	
{'tones': [{'score': 0.586688, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	[{'sentence_id': 0, 'text': 'USER_MENTION lockdown extnded wll unable travel date blr ticket frm possible travel.plz', 'tones': [{'score': 0.621797, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'secure pnrhcks2x ready new travel date.seeking', 'tones': [{'score': 0.764127, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 2, 'text': 'help USER_MENTION USER_MENTION USER_MENTION', 'tones': []}]
{'tones': [{'score': 0.666703, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.589295, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.647986, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.858292, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': [{'score': 0.726663, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': []}	
{'tones': [{'score': 0.612925, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.679542, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.93884, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': []}	
{'tones': [{'score': 0.664956, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.696092, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.804675, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.615847, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.727988, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.838593, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.61899, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': []}	
{'tones': [{'score': 0.678419, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.571567, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.820871, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
